"Libellé";"idBank";"Dernière mise à jour";"Période";"2018-01";"2018-02";"2018-03";"2018-04";"2018-05";"2018-06";"2018-07";"2018-08";"2018-09";"2018-10";"2018-11";"2018-12";"2019-01";"2019-02";"2019-03";"2019-04";"2019-05";"2019-06";"2019-07";"2019-08";"2019-09";"2019-10";"2019-11";"2019-12";"2020-01";"2020-02";"2020-03";"2020-04";"2020-05";"2020-06";"2020-07";"2020-08";"2020-09";"2020-10";"2020-11";"2020-12";"2021-01";"2021-02";"2021-03";"2021-04";"2021-05";"2021-06";"2021-07";"2021-08";"2021-09";"2021-10";"2021-11";"2021-12";"2022-01";"2022-02";"2022-03";"2022-04";"2022-05";"2022-06";"2022-07";"2022-08";"2022-09";"2022-10";"2022-11";"2022-12"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées pour motif professionnel ou mixte";"010758188";"06/06/2023 15:01";"";"7.2";"7.2";"8.2";"7.7";"7.7";"8.7";"9.0";"6.6";"9.5";"9.0";"7.9";"5.8";"6.8";"6.7";"8.2";"7.2";"7.0";"8.4";"8.2";"8.8";"9.3";"8.9";"7.9";"6.0";"5.4";"6.1";"3.3";"1.0";"1.6";"3.7";"4.2";"4.5";"5.6";"5.1";"4.4";"3.8";"3.3";"2.9";"3.2";"3.7";"4.2";"4.6";"5.3";"3.9";"5.3";"7.3";"5.4";"3.7";"3.3";"4.8";"5.7";"4.7";"4.7";"6.8";"6.4";"4.8";"6.0";"7.5";"5.9";"4.0"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages - Hébergements principal marchand";"010758180";"06/06/2023 15:01";"";"6.2";"7.0";"8.4";"10.1";"12.9";"10.3";"12.4";"17.1";"11.2";"9.1";"6.8";"6.2";"5.9";"8.0";"8.2";"10.8";"10.2";"12.8";"12.0";"17.1";"10.4";"9.7";"7.2";"6.8";"6.0";"8.0";"4.0";"0.3";"0.9";"4.0";"9.9";"15.2";"7.7";"6.0";"1.1";"2.4";"2.6";"3.4";"2.9";"1.7";"6.4";"7.4";"11.3";"16.3";"9.6";"8.1";"6.5";"5.3";"4.6";"7.1";"6.5";"9.0";"11.1";"10.6";"11.9";"16.0";"9.5";"8.5";"6.6";"5.7"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages - Hébergements principal non marchand";"010758181";"06/06/2023 15:01";"";"10.2";"8.2";"8.3";"10.7";"11.0";"8.8";"12.9";"15.0";"9.6";"10.0";"9.1";"14.2";"9.5";"8.3";"8.8";"11.1";"9.3";"10.0";"12.1";"15.1";"9.4";"9.5";"9.4";"14.2";"9.1";"8.8";"4.7";"0.9";"4.1";"9.3";"12.9";"14.6";"8.7";"9.5";"2.8";"12.7";"8.6";"8.8";"6.9";"5.6";"11.8";"9.3";"11.6";"13.9";"8.7";"9.5";"9.6";"14.6";"8.8";"8.7";"8.0";"10.1";"10.9";"8.9";"11.8";"13.7";"8.3";"9.1";"9.4";"14.4"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées - Hébergements marchand";"010758189";"06/06/2023 15:01";"";"23.4";"29.2";"37.7";"42.7";"56.5";"44.6";"85.2";"144.5";"62.8";"39.5";"25.3";"21.5";"21.6";"33.8";"34.2";"46.2";"43.5";"53.0";"81.9";"144.7";"57.8";"40.8";"25.9";"25.0";"23.7";"35.2";"19.5";"0.9";"2.3";"14.4";"60.1";"118.3";"42.5";"24.7";"3.7";"9.8";"9.6";"11.9";"10.2";"5.5";"22.0";"30.0";"77.3";"128.1";"52.0";"31.2";"21.8";"18.6";"17.4";"29.1";"24.7";"36.8";"43.9";"43.5";"79.8";"127.3";"53.0";"35.5";"23.1";"19.9"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de nuitées - Hébergements non marchand";"010758190";"06/06/2023 15:01";"";"44.9";"30.2";"34.8";"44.4";"47.0";"32.7";"71.8";"127.3";"55.0";"43.5";"37.3";"51.2";"40.1";"31.0";"32.2";"46.6";"37.2";"35.6";"65.3";"122.1";"51.2";"39.1";"33.5";"51.9";"36.1";"34.2";"19.5";"5.0";"20.1";"37.9";"71.4";"119.0";"45.4";"41.5";"12.6";"51.6";"33.4";"30.8";"25.6";"23.1";"45.2";"33.5";"66.4";"110.5";"44.8";"37.3";"37.4";"55.1";"33.3";"34.1";"28.3";"40.7";"42.4";"31.2";"62.2";"109.3";"40.6";"37.1";"33.4";"53.3"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages - Mode de transport principal : route (Voiture + camping car)";"010758182";"06/06/2023 15:01";"";"11.3";"9.8";"11.0";"14.9";"17.1";"13.2";"19.4";"24.8";"14.0";"12.5";"10.1";"14.7";"10.4";"10.8";"11.1";"15.5";"12.8";"15.3";"17.7";"24.6";"13.1";"12.3";"10.9";"16.5";"10.7";"11.3";"5.6";"1.0";"4.6";"11.3";"19.4";"25.6";"12.5";"12.1";"2.7";"12.5";"8.6";"9.8";"7.6";"5.5";"15.2";"13.1";"18.7";"25.0";"13.9";"12.7";"11.5";"15.7";"10.0";"12.1";"10.0";"13.9";"15.9";"14.0";"18.1";"23.5";"12.4";"11.7";"10.7";"15.2"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Nombre de voyages - Autres modes de transport principal";"010758183";"06/06/2023 15:01";"";"5.1";"5.3";"5.7";"5.9";"6.9";"5.9";"5.9";"7.3";"6.8";"6.7";"5.8";"5.6";"5.0";"5.5";"5.9";"6.4";"6.7";"7.6";"6.5";"7.6";"6.7";"7.0";"5.8";"4.5";"4.4";"5.6";"3.1";"0.2";"0.5";"1.9";"3.4";"4.1";"4.0";"3.4";"1.2";"2.6";"2.5";"2.4";"2.2";"1.7";"2.9";"3.6";"4.2";"5.2";"4.5";"5.0";"4.6";"4.2";"3.4";"3.8";"4.5";"5.3";"6.1";"5.6";"5.6";"6.2";"5.5";"5.9";"5.3";"4.9"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
"Indice d’évolution mensuel du nombre d’allers-retours (base 100 en moyenne 2018)";"010758191";"06/06/2023 15:01";"";"95";"89";"98";"106";"104";"101";"101";"107";"102";"103";"96";"97";"94";"97";"99";"96";"101";"103";"99";"107";"98";"106";"91";"92";"95";"95";"51";"12";"28";"69";"88";"89";"77";"72";"33";"54";"59";"56";"48";"37";"63";"71";"80";"84";"78";"83";"73";"82";"68";"70";"70";"82";"86";"85";"81";"86";"77";"83";"69";"74"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A"
