"Libellé";"idBank";"Dernière mise à jour";"Période";"2011-T1";"2011-T2";"2011-T3";"2011-T4";"2012-T1";"2012-T2";"2012-T3";"2012-T4";"2013-T1";"2013-T2";"2013-T3";"2013-T4";"2014-T1";"2014-T2";"2014-T3";"2014-T4";"2015-T1";"2015-T2";"2015-T3";"2015-T4";"2016-T1";"2016-T2";"2016-T3";"2016-T4";"2017-T1";"2017-T2";"2017-T3";"2017-T4";"2018-T1";"2018-T2";"2018-T3";"2018-T4";"2019-T1";"2019-T2";"2019-T3";"2019-T4";"2020-T1";"2020-T2";"2020-T3";"2020-T4";"2021-T1";"2021-T2";"2021-T3";"2021-T4";"2022-T1";"2022-T2";"2022-T3"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";"";""
"Nuitées dans l'hôtellerie en provenance - Espagne - France métropolitaine";"010609676";"12/03/2024 16:12";"";"727";"1390";"2069";"908";"650";"1255";"1769";"801";"671";"1119";"1795";"759";"605";"1317";"1923";"827";"702";"1222";"1938";"815";"801";"1104";"1670";"870";"710";"1348";"1841";"1073";"910";"1320";"2089";"1164";"816";"1525";"1996";"1029";"";"";"432";"";"";"";"";"";"589";"1322";"1910"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Allemagne - France métropolitaine";"010609674";"12/03/2024 16:12";"";"764";"1995";"2296";"1071";"781";"1996";"2415";"1078";"862";"1889";"2420";"1125";"755";"2009";"2454";"1176";"784";"2001";"2466";"1066";"848";"1729";"2236";"1112";"845";"2042";"2443";"1262";"1031";"2177";"2667";"1328";"954";"2332";"2550";"1306";"";"";"1170";"";"";"";"";"";"672";"2231";"2818"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Japon - France métropolitaine";"010609688";"12/03/2024 16:12";"";"518";"529";"660";"577";"567";"566";"692";"630";"541";"504";"649";"506";"489";"492";"617";"490";"410";"389";"528";"301";"202";"262";"306";"245";"285";"304";"363";"298";"352";"350";"427";"390";"389";"401";"475";"375";"";"";"";"";"";"";"";"";"18";"55";"96"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Europe hors France - France métropolitaine";"010609673";"12/03/2024 16:12";"";"7645";"13360";"18050";"8523";"7933";"13301";"17844";"8745";"8070";"12967";"18296";"8738";"7713";"13525";"18315";"9218";"7924";"13274";"18162";"8339";"8095";"12343";"16468";"8516";"8024";"13222";"17797";"9490";"9158";"13763";"18763";"9952";"8788";"14201";"17842";"9335";"";"";"6894";"";"";"";"";"";"6342";"13547";"18831"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Asie et Océanie - France métropolitaine";"010609685";"12/03/2024 16:12";"";"1375";"2098";"2781";"1802";"1516";"2322";"2924";"1957";"1563";"2472";"3199";"1967";"1604";"2508";"3366";"2018";"1715";"2809";"4062";"1986";"1467";"2455";"3293";"1959";"1867";"2852";"3589";"2249";"2030";"3084";"3887";"2429";"2001";"2963";"3573";"2359";"";"";"";"";"";"";"";"";"626";"1356";"2284"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Pays-Bas - France métropolitaine";"010609678";"12/03/2024 16:12";"";"479";"881";"1349";"533";"488";"825";"1298";"544";"435";"786";"1207";"511";"417";"759";"1234";"575";"466";"789";"1254";"508";"482";"747";"1234";"510";"473";"830";"1426";"594";"509";"860";"1392";"572";"496";"871";"1341";"565";"";"";"845";"";"";"";"";"";"575";"1085";"1889"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"O";"O";"O";"O";"O";"A";"A";"A"
"Nuitées dans l'hôtellerie en provenance - Chine - France métropolitaine";"010609687";"12/03/2024 16:12";"";"277";"363";"547";"357";"225";"389";"579";"380";"281";"518";"749";"463";"365";"496";"826";"455";"424";"781";"1217";"582";"401";"636";"865";"524";"558";"783";"991";"665";"583";"848";"1044";"693";"569";"811";"952";"631";"";"";"";"";"";"";"";"";"42";"117";"169"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"O";"O";"O";"O";"O";"O";"A";"A";"A"
