"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Côte-d'Or - Série arrêtée";"001786303";"07/03/2019 12:01";"";"846";"900";"882";"871";"1002";"1079";"957";"995";"1047";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Côtes-d'Armor - Série arrêtée";"001786304";"07/03/2019 12:01";"";"169";"172";"164";"137";"145";"149";"147";"148";"167";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Creuse - Série arrêtée";"001786305";"07/03/2019 12:01";"";"12";"10";"10";"13";"15";"14";"14";"13";"13";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Dordogne - Série arrêtée";"001786306";"07/03/2019 12:01";"";"236";"240";"256";"247";"276";"275";"268";"273";"276";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Doubs - Série arrêtée";"001786307";"07/03/2019 12:01";"";"144";"143";"134";"151";"162";"208";"198";"227";"240";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Drôme - Série arrêtée";"001786308";"07/03/2019 12:01";"";"237";"217";"216";"253";"222";"260";"259";"270";"322";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
"Nuitées - Non-résidents - Dans l'hôtellerie - Eure - Série arrêtée";"001786309";"07/03/2019 12:01";"";"98";"93";"109";"116";"100";"97";"93";"92";"95";"";"";"";"";""
"Codes";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"";"";"";"";""
