"Libellé";"idBank";"Dernière mise à jour";"Période";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Vaucluse";"010606441";"12/03/2024 16:12";"";"";"951";"926";"959";"895";"830";"899";"878";"845";"898";"";"";"927";"920"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Guyane";"010606577";"12/03/2024 16:12";"";"";"103";"105";"108";"94";"130";"127";"120";"131";"150";"";"";"174";"158"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Grand Est";"010606458";"12/03/2024 16:12";"";"";"2350";"2393";"2599";"2734";"2770";"2778";"2967";"3157";"3140";"";"";"2850";"3210"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les Autres Hébergements Collectifs Touristiques - Total - Pays de la Loire";"010755133";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"4158";"";"3089";"4279";"4109"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Seine-Saint-Denis";"010606450";"12/03/2024 16:12";"";"";"1933";"1863";"1733";"1744";"1753";"1753";"1911";"1824";"1792";"";"";"1417";"1624"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les résidences de tourisme et hébergements assimilés - Total - France métropolitaine";"010755139";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"71897";"";"44632";"71947";"69590"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Eure";"010606496";"12/03/2024 16:12";"";"";"50";"59";"66";"62";"59";"59";"58";"56";"57";"";"";"47";"58"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Corse-du-Sud";"010606376";"12/03/2024 16:12";"";"";"611";"621";"621";"579";"601";"621";"673";"668";"645";"";"";"660";"607"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Allier";"010606247";"12/03/2024 16:12";"";"";"520";"519";"513";"504";"516";"501";"506";"552";"571";"";"";"532";"554"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Île-de-France";"010606341";"12/03/2024 16:12";"";"";"18547";"18005";"17504";"17430";"17356";"17511";"18694";"18396";"18803";"";"";"16473";"17098"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Gard";"010606499";"12/03/2024 16:12";"";"";"167";"165";"171";"176";"184";"172";"183";"184";"176";"";"";"145";"152"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les Autres Hébergements Collectifs Touristiques - Total - Île-de-France";"010755126";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"11600";"";"5197";"11475";"12245"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Var";"010606552";"12/03/2024 16:12";"";"";"370";"366";"393";"378";"406";"403";"414";"430";"430";"";"";"398";"422"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Meurthe-et-Moselle";"010606523";"12/03/2024 16:12";"";"";"117";"164";"153";"144";"160";"151";"180";"200";"190";"";"";"182";"220"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Aude";"010606367";"12/03/2024 16:12";"";"";"562";"543";"531";"503";"504";"530";"497";"545";"565";"";"";"611";"615"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Aisne";"010606358";"12/03/2024 16:12";"";"";"282";"281";"274";"273";"262";"258";"273";"270";"275";"";"";"248";"249"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Marne";"010606520";"12/03/2024 16:12";"";"";"388";"373";"408";"423";"408";"417";"416";"465";"430";"";"";"419";"452"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Landes";"010606397";"12/03/2024 16:12";"";"";"404";"392";"395";"398";"414";"444";"465";"464";"487";"";"";"498";"495"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Loire";"010606511";"12/03/2024 16:12";"";"";"39";"47";"36";"38";"38";"42";"34";"40";"39";"";"";"40";"44"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Seine-Saint-Denis";"010606562";"12/03/2024 16:12";"";"";"666";"678";"722";"725";"712";"699";"943";"1110";"1054";"";"";"708";"881"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Territoire-de-Belfort";"010606559";"12/03/2024 16:12";"";"";"24";"30";"35";"32";"49";"50";"56";"62";"57";"";"";"35";"43"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Maine-et-Loire";"010606406";"12/03/2024 16:12";"";"";"705";"697";"686";"688";"720";"726";"763";"766";"785";"";"";"820";"823"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Bretagne";"010606348";"12/03/2024 16:12";"";"";"3722";"3759";"3741";"3731";"3913";"4000";"4044";"4014";"4174";"";"";"4091";"4082"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Haute-Loire";"010606400";"12/03/2024 16:12";"";"";"207";"203";"213";"202";"207";"198";"207";"197";"204";"";"";"203";"200"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Nouvelle-Aquitaine";"010606461";"12/03/2024 16:12";"";"";"1120";"1105";"1193";"1350";"1490";"1513";"1616";"1666";"1640";"";"";"1517";"1758"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Oise";"010606417";"12/03/2024 16:12";"";"";"705";"688";"695";"649";"617";"595";"614";"593";"642";"";"";"707";"793"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Martinique";"010606576";"12/03/2024 16:12";"";"";"273";"267";"270";"246";"239";"251";"288";"315";"300";"";"";"290";"281"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Indre";"010606393";"12/03/2024 16:12";"";"";"257";"234";"232";"237";"226";"232";"235";"230";"246";"";"";"227";"235"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les Autres Hébergements Collectifs Touristiques - Total - Hauts-de-France";"010755131";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"2679";"";"1726";"2636";"2760"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Paris";"010606432";"12/03/2024 16:12";"";"";"6937";"6686";"6612";"6527";"6347";"6617";"7027";"6790";"7143";"";"";"6590";"6698"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Bouches-du-Rhône";"010606481";"12/03/2024 16:12";"";"";"592";"636";"642";"691";"715";"741";"750";"844";"894";"";"";"752";"862"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les résidences de tourisme et hébergements assimilés - Total - Île-de-France";"010755140";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"10698";"";"4775";"10318";"10903"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Charente";"010606372";"12/03/2024 16:12";"";"";"244";"257";"259";"245";"243";"255";"249";"239";"259";"";"";"285";"276"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Loire-Atlantique";"010606513";"12/03/2024 16:12";"";"";"115";"113";"137";"139";"157";"180";"194";"209";"210";"";"";"189";"214"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Normandie";"010606456";"12/03/2024 16:12";"";"";"950";"970";"1069";"1120";"1060";"1014";"1083";"1193";"1198";"";"";"1054";"1168"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Manche";"010606407";"12/03/2024 16:12";"";"";"618";"580";"568";"581";"593";"593";"610";"658";"672";"";"";"635";"624"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Eure-et-Loir";"010606497";"12/03/2024 16:12";"";"";"79";"81";"84";"84";"100";"98";"110";"123";"114";"";"";"97";"107"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Côte-d'Or";"010606490";"12/03/2024 16:12";"";"";"699";"676";"703";"783";"858";"735";"775";"840";"803";"";"";"734";"766"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Cantal";"010606371";"12/03/2024 16:12";"";"";"258";"266";"261";"256";"276";"289";"276";"264";"260";"";"";"220";"221"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Aveyron";"010606368";"12/03/2024 16:12";"";"";"519";"501";"457";"464";"450";"436";"424";"407";"411";"";"";"407";"411"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Lozère";"010606405";"12/03/2024 16:12";"";"";"228";"233";"225";"218";"237";"223";"204";"207";"214";"";"";"252";"265"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Ille-et-Vilaine";"010606392";"12/03/2024 16:12";"";"";"1405";"1409";"1396";"1443";"1488";"1510";"1507";"1506";"1593";"";"";"1553";"1555"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les résidences de tourisme et hébergements assimilés - Total - Normandie";"010755143";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"2483";"";"1759";"2546";"2627"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Cher";"010606374";"12/03/2024 16:12";"";"";"392";"403";"384";"384";"435";"449";"428";"409";"428";"";"";"410";"423"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - DOM";"010606355";"12/03/2024 16:12";"";"";"1049";"1055";"1053";"1001";"1106";"1181";"1309";"1426";"1488";"";"";"1567";"1569"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Provence-Alpes-Côte d'Azur";"010606464";"12/03/2024 16:12";"";"";"3400";"3517";"3592";"3658";"3885";"3761";"3900";"4018";"4110";"";"";"3356";"3827"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Haute-Saône";"010606539";"12/03/2024 16:12";"";"";"11";"9";"10";"9";"11";"10";"17";"19";"18";"";"";"12";"15"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Savoie";"010606542";"12/03/2024 16:12";"";"";"343";"361";"372";"365";"392";"384";"373";"395";"393";"";"";"416";"527"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Val-d'Oise";"010606452";"12/03/2024 16:12";"";"";"1666";"1634";"1585";"1574";"1604";"1603";"1720";"1782";"1815";"";"";"1480";"1714"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Tarn-et-Garonne";"010606439";"12/03/2024 16:12";"";"";"224";"204";"213";"208";"225";"228";"215";"222";"202";"";"";"223";"228"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Nièvre";"010606527";"12/03/2024 16:12";"";"";"48";"48";"50";"48";"42";"43";"42";"38";"37";"";"";"31";"36"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Indre-et-Loire";"010606394";"12/03/2024 16:12";"";"";"879";"869";"854";"827";"885";"916";"913";"917";"940";"";"";"957";"978"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Maine-et-Loire";"010606518";"12/03/2024 16:12";"";"";"90";"92";"95";"93";"93";"86";"88";"96";"85";"";"";"95";"94"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Val-d'Oise";"010606564";"12/03/2024 16:12";"";"";"743";"754";"786";"854";"891";"824";"913";"923";"870";"";"";"566";"724"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Sarthe";"010606429";"12/03/2024 16:12";"";"";"499";"499";"449";"458";"443";"477";"507";"502";"519";"";"";"490";"495"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Alpes de Hautes-Provence";"010606472";"12/03/2024 16:12";"";"";"86";"91";"89";"69";"100";"82";"84";"89";"101";"";"";"77";"79"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Vienne";"010606443";"12/03/2024 16:12";"";"";"966";"1030";"999";"969";"983";"983";"1045";"994";"1037";"";"";"1065";"1073"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Yonne";"010606558";"12/03/2024 16:12";"";"";"91";"89";"86";"96";"100";"87";"96";"104";"94";"";"";"91";"96"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Lot";"010606515";"12/03/2024 16:12";"";"";"64";"64";"63";"66";"60";"60";"62";"64";"63";"";"";"49";"46"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Drôme";"010606495";"12/03/2024 16:12";"";"";"168";"160";"201";"173";"193";"179";"201";"235";"234";"";"";"231";"240"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Bretagne";"010606460";"12/03/2024 16:12";"";"";"513";"528";"536";"584";"609";"581";"625";"695";"662";"";"";"606";"689"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Nouvelle-Aquitaine";"010606349";"12/03/2024 16:12";"";"";"7881";"7818";"7870";"7734";"7879";"8109";"8316";"8139";"8433";"";"";"8202";"8243"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Essonne";"010606448";"12/03/2024 16:12";"";"";"1062";"1034";"964";"991";"997";"977";"961";"981";"953";"";"";"925";"1016"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Haute-Garonne";"010606500";"12/03/2024 16:12";"";"";"345";"346";"349";"361";"376";"400";"437";"442";"451";"";"";"325";"385"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Ardennes";"010606252";"12/03/2024 16:12";"";"";"185";"187";"186";"202";"185";"183";"180";"173";"178";"";"";"161";"163"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Haute-Savoie";"010606431";"12/03/2024 16:12";"";"";"1500";"1498";"1548";"1568";"1566";"1600";"1576";"1571";"1689";"";"";"1754";"1726"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - France métropolitaine";"010606466";"12/03/2024 16:12";"";"";"30258";"31069";"32344";"33295";"34032";"32492";"35568";"38096";"37376";"";"";"32762";"37269"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Hautes-Alpes";"010606473";"12/03/2024 16:12";"";"";"70";"73";"68";"60";"61";"80";"91";"84";"85";"";"";"80";"71"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Seine-et-Marne";"010606434";"12/03/2024 16:12";"";"";"2650";"2583";"2519";"2524";"2624";"2585";"2752";"2687";"2667";"";"";"2377";"2169"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Eure-et-Loir";"010606385";"12/03/2024 16:12";"";"";"375";"367";"363";"370";"362";"355";"380";"383";"399";"";"";"398";"401"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Alpes-Maritimes";"010606474";"12/03/2024 16:12";"";"";"1857";"1916";"1965";"1976";"2118";"2027";"2114";"2139";"2157";"";"";"1656";"1976"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les Autres Hébergements Collectifs Touristiques - Total - Grand Est";"010755132";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"4625";"";"2713";"4275";"4376"
"Codes";"";"";"";"";"";"";"";"";"";"";"";"";"A";"O";"A";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Corse";"010606465";"12/03/2024 16:12";"";"";"318";"329";"342";"362";"334";"368";"357";"377";"357";"";"";"328";"381"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Calvados";"010606482";"12/03/2024 16:12";"";"";"418";"419";"482";"510";"500";"466";"489";"541";"552";"";"";"465";"506"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Tarn";"010606550";"12/03/2024 16:12";"";"";"34";"29";"33";"33";"33";"42";"43";"48";"42";"";"";"31";"32"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Hauts-de-France";"010606457";"12/03/2024 16:12";"";"";"1172";"1277";"1340";"1431";"1459";"1525";"1510";"1632";"1483";"";"";"1241";"1410"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Creuse";"010606380";"12/03/2024 16:12";"";"";"100";"94";"86";"84";"81";"82";"83";"77";"80";"";"";"85";"93"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Hautes-Pyrénées";"010606534";"12/03/2024 16:12";"";"";"597";"554";"491";"509";"499";"506";"546";"537";"535";"";"";"314";"466"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Alpes-Maritimes";"010606250";"12/03/2024 16:12";"";"";"3876";"3925";"3923";"3876";"3987";"3909";"3994";"4002";"4117";"";"";"3850";"4224"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Pas-de-Calais";"010606419";"12/03/2024 16:12";"";"";"928";"952";"993";"1027";"1019";"1015";"1044";"1032";"1049";"";"";"1098";"1079"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Bas-Rhin";"010606536";"12/03/2024 16:12";"";"";"737";"734";"789";"845";"860";"861";"924";"984";"1024";"";"";"872";"1047"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Jura";"010606508";"12/03/2024 16:12";"";"";"60";"59";"60";"58";"60";"67";"74";"70";"71";"";"";"69";"70"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Finistère";"010606386";"12/03/2024 16:12";"";"";"891";"905";"894";"851";"905";"944";"970";"953";"988";"";"";"963";"969"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Mayenne";"010606410";"12/03/2024 16:12";"";"";"161";"168";"171";"167";"177";"191";"176";"176";"180";"";"";"188";"198"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Ille-et-Vilaine";"010606504";"12/03/2024 16:12";"";"";"247";"260";"260";"271";"297";"275";"297";"338";"319";"";"";"291";"343"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Haute-Savoie";"010606543";"12/03/2024 16:12";"";"";"584";"588";"644";"649";"721";"751";"760";"780";"781";"";"";"707";"916"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Aveyron";"010606480";"12/03/2024 16:12";"";"";"50";"56";"59";"52";"49";"47";"43";"42";"44";"";"";"40";"42"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - Manche";"010606519";"12/03/2024 16:12";"";"";"196";"199";"206";"205";"155";"153";"173";"199";"209";"";"";"165";"181"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Totales - dans l'hôtellerie - Ariège";"010606253";"12/03/2024 16:12";"";"";"153";"165";"159";"157";"132";"131";"149";"137";"151";"";"";"140";"152"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Puy-de-Dôme";"010606420";"12/03/2024 16:12";"";"";"1028";"1025";"969";"953";"990";"1047";"1066";"1084";"1116";"";"";"1074";"1114"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Non-résidents - dans l'hôtellerie - France entière";"010606468";"12/03/2024 16:12";"";"";"30382";"31182";"32472";"33437";"34189";"32650";"35765";"38297";"37560";"";"";"32886";"37427"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nombre d'arrivées - Résidents - dans l'hôtellerie - Somme";"010606437";"12/03/2024 16:12";"";"";"470";"462";"438";"445";"456";"451";"456";"434";"452";"";"";"453";"445"
"Codes";"";"";"";"";"A";"A";"A";"A";"A";"A";"A";"A";"A";"O";"O";"A";"A"
"Nuitées dans les résidences de tourisme et hébergements assimilés - Total - Corse";"010755152";"12/03/2024 16:12";"";"";"";"";"";"";"";"";"";"";"1957";"";"2121";"2399";"2247"
